campaign_id,channel,spend,impressions,clicks,conversions,revenue,date
C001,search,5200,125000,3200,180,27000,2025-01-05
C002,social,3100,89000,2100,95,14250,2025-01-05
C003,display,1800,210000,890,32,4800,2025-01-06
C004,email,800,15000,1200,210,31500,2025-01-06
C005,search,5500,132000,3500,205,30750,2025-01-07
C006,social,3400,95000,2300,110,16500,2025-01-07
C007,display,2100,230000,950,38,5700,2025-01-08
C008,email,950,18000,1400,245,36750,2025-01-08
C009,search,4800,118000,2900,165,24750,2025-01-09
C010,social,2900,82000,1800,82,12300,2025-01-09
C011,display,1900,195000,820,28,4200,2025-01-10
C012,email,700,12000,1050,190,28500,2025-01-10
C013,search,5800,140000,3800,225,33750,2025-01-11
C014,social,3700,102000,2500,125,18750,2025-01-11
C015,display,2200,245000,1020,42,6300,2025-01-12
C016,email,1050,20000,1550,260,39000,2025-01-12
C017,search,5100,128000,3100,190,28500,2025-01-13
C018,social,3200,91000,2200,100,15000,2025-01-13
C019,display,2000,218000,900,35,5250,2025-01-14
C020,email,850,16000,1300,220,33000,2025-01-14
C021,search,4600,115000,2800,155,23250,2025-01-15
C022,social,2800,78000,1700,78,11700,2025-01-15
C023,display,1700,185000,780,25,3750,2025-01-16
C024,email,650,11000,950,175,26250,2025-01-16
C025,search,5900,145000,3900,235,35250,2025-01-17
C026,social,3500,98000,2400,118,17700,2025-01-17
C027,display,2300,250000,1080,45,6750,2025-01-18
C028,email,1100,22000,1600,270,40500,2025-01-18
C029,search,5300,130000,3300,200,30000,2025-01-19
C030,social,3300,93000,2250,105,15750,2025-01-19
C031,display,2050,225000,970,40,6000,2025-01-20
C032,email,900,17000,1350,230,34500,2025-01-20
C033,search,5000,122000,3000,185,27750,2025-01-21
C034,social,3000,86000,1950,88,13200,2025-01-21
C035,display,1850,200000,850,30,4500,2025-01-22
C036,email,750,14000,1150,200,30000,2025-01-22
C037,search,5600,135000,3600,215,32250,2025-01-23
C038,social,3600,100000,2450,120,18000,2025-01-23
C039,display,2150,235000,1000,40,6000,2025-01-24
C040,email,1000,19000,1500,255,38250,2025-01-24
C041,search,4900,120000,2950,170,25500,2025-01-25
C042,social,3100,88000,2100,98,14700,2025-01-25
C043,display,1950,208000,870,33,4950,2025-01-26
C044,email,820,15000,1250,210,31500,2025-01-26
C045,search,5400,133000,3400,210,31500,2025-01-27
C046,social,3400,96000,2350,112,16800,2025-01-27
C047,display,2100,222000,980,39,5850,2025-01-28
C048,email,920,16000,1300,225,33750,2025-01-28
C049,search,5700,138000,3700,220,33000,2025-01-29
C050,social,3500,99000,2480,122,18300,2025-01-29
