channel,date,impressions,clicks,cost,revenue,sessions,conversions
百度,2024-01-01,125000,3750,8500,42500,4200,168
百度,2024-01-08,138000,4140,9200,47600,4650,186
百度,2024-01-15,142000,4260,9600,49300,4800,192
百度,2024-01-22,156000,4680,10200,54000,5200,208
百度,2024-01-29,168000,5040,11000,58200,5600,224
抖音,2024-01-01,320000,9600,12800,38400,8200,246
抖音,2024-01-08,355000,10650,14200,42600,9100,273
抖音,2024-01-15,380000,11400,15200,45600,9750,292
抖音,2024-01-22,410000,12300,16400,49200,10500,315
抖音,2024-01-29,445000,13350,17600,53400,11400,342
微信,2024-01-01,48000,1440,4200,21600,1600,80
微信,2024-01-08,52000,1560,4600,24000,1740,87
微信,2024-01-15,55000,1650,4900,26400,1840,92
微信,2024-01-22,58000,1740,5200,29000,1950,98
微信,2024-01-29,62000,1860,5600,31800,2080,105
百度,2024-02-05,175000,5250,11500,61000,5850,234
百度,2024-02-12,182000,5460,12000,64500,6100,244
抖音,2024-02-05,470000,14100,18500,56400,12000,360
抖音,2024-02-12,495000,14850,19600,59400,12650,379
微信,2024-02-05,65000,1950,5900,33800,2180,111
微信,2024-02-12,68000,2040,6200,36100,2280,116
