channel,date,visitors,register,add_cart,payment_start,payment_complete,revenue
百度,2024-01-01,3200,640,320,192,144,28800
百度,2024-01-08,3500,700,350,210,158,31600
百度,2024-01-15,3800,760,380,228,171,34200
百度,2024-01-22,4100,820,410,246,185,37000
百度,2024-01-29,4400,880,440,264,198,39600
抖音,2024-01-01,8500,1700,850,510,382,76400
抖音,2024-01-08,9200,1840,920,552,414,82800
抖音,2024-01-15,9800,1960,980,588,441,88200
抖音,2024-01-22,10500,2100,1050,630,473,94600
抖音,2024-01-29,11200,2240,1120,672,504,100800
微信,2024-01-01,1200,240,120,72,54,10800
微信,2024-01-08,1350,270,135,81,61,12200
微信,2024-01-15,1480,296,148,89,67,13400
微信,2024-01-22,1620,324,162,97,73,14600
微信,2024-01-29,1750,350,175,105,79,15800
百度,2024-02-05,4600,920,460,276,207,41400
百度,2024-02-12,4800,960,480,288,216,43200
抖音,2024-02-05,11800,2360,1180,708,531,106200
抖音,2024-02-12,12400,2480,1240,744,558,111600
微信,2024-02-05,1880,376,188,113,85,17000
微信,2024-02-12,2000,400,200,120,90,18000
