user_id,channel,signup_date,age_group,total_spend,orders,first_order_days,last_order_days,is_premium
U1001,抖音,2024-01-03,25-30,4580,8,0,62,1
U1002,微信,2024-01-05,30-35,2200,4,2,58,0
U1003,百度,2024-01-07,20-25,650,1,5,15,0
U1004,抖音,2024-01-09,25-30,3200,6,1,55,1
U1005,自然,2024-01-11,35-40,1800,3,3,48,0
U1006,百度,2024-01-13,20-25,420,1,8,12,0
U1007,微信,2024-01-15,30-35,5400,9,0,65,1
U1008,抖音,2024-01-17,25-30,2100,4,2,42,0
U1009,自然,2024-01-19,40-45,320,1,0,8,0
U1010,百度,2024-01-21,25-30,3850,7,1,60,1
U1011,微信,2024-01-23,20-25,780,2,4,35,0
U1012,抖音,2024-01-25,30-35,4600,8,0,64,1
U1013,自然,2024-01-27,35-40,1500,3,6,40,0
U1014,百度,2024-01-29,25-30,2900,5,2,52,1
U1015,微信,2024-02-01,20-25,620,1,3,18,0
U1016,抖音,2024-02-03,30-35,4100,7,1,55,1
U1017,自然,2024-02-05,40-45,280,1,0,7,0
U1018,百度,2024-02-07,25-30,3650,6,2,50,1
U1019,微信,2024-02-09,35-40,1950,4,4,45,0
U1020,抖音,2024-02-11,20-25,550,1,6,14,0
U1021,百度,2024-02-13,30-35,3300,6,1,48,1
U1022,自然,2024-02-15,25-30,1200,2,5,28,0
U1023,微信,2024-02-17,40-45,2400,5,2,42,1
U1024,抖音,2024-02-19,20-25,890,2,3,22,0
U1025,百度,2024-02-21,35-40,3800,7,0,58,1
U1026,自然,2024-02-23,25-30,430,1,2,10,0
U1027,微信,2024-02-25,30-35,2650,5,3,46,1
U1028,抖音,2024-02-27,20-25,1780,3,4,32,0
U1029,百度,2024-02-29,40-45,1500,3,5,38,0
U1030,自然,2024-03-02,25-30,2200,4,2,40,1
